publisher,genres,title,release_date,price,id,developer
Kotoshiro,"('Action', 'Casual', 'Indie', 'Simulation', 'Strategy')",Lost Summoner Kitty,2018-01-04,4,761140,Kotoshiro
"Making Fun, Inc.","('Free to Play', 'Indie', 'RPG', 'Strategy')",Ironbound,2018-01-04,0,643980,Secret Level SRL
Poolians.com,"('Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports')",Real Pool 3D - Poolians,2017-07-24,0,670290,Poolians.com
彼岸领域,"('Action', 'Adventure', 'Casual')",弹炸人2222,2017-12-07,0,767400,彼岸领域
Trickjump Games Ltd,"('Action', 'Adventure', 'Simulation')",Battle Royale Trainer,2018-01-04,3,772540,Trickjump Games Ltd
Poppermost Productions,"('Free to Play', 'Indie', 'Simulation', 'Sports')",SNOW - All Access Pro Pass,2018-01-04,18,774277,Poppermost Productions
Poppermost Productions,"('Free to Play', 'Indie', 'Simulation', 'Sports')",SNOW - All Access Legend Pass,2018-01-04,29,774278,Poppermost Productions
Stegalosaurus Game Development,"('Action', 'Adventure', 'Casual', 'Indie', 'RPG')",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10,770380,Stegalosaurus Game Development
Copperpick Studio,"('Casual', 'Indie')",Beach Rules,2018-01-04,3,768880,Copperpick Studio
Ghulam Jewel,"('Casual', 'Indie', 'Simulation')",Planetarium 2 - Zen Odyssey,2018-01-03,2,765320,Ghulam Jewel
Apillo,"('Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy')",The first thrust of God,2018-01-03,1,773650,Apillo
Poppermost Productions,"('Free to Play', 'Indie', 'Simulation', 'Sports')",SNOW - Starter Pack,2018-01-03,14,774271,Poppermost Productions
Apillo,"('Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy')",The first thrust of God - All Aircrafts,2018-01-03,1,773690,Apillo
Poppermost Productions,"('Free to Play', 'Indie', 'Simulation', 'Sports')",SNOW - Lifetime Pack,2018-01-03,59,774279,Poppermost Productions
Tero Lunkka,"('Action', 'Adventure', 'Indie')",The Warrior Of Treasures,2018-01-03,0,768060,Tero Lunkka
FrozenPepper,"('Racing', 'Simulation', 'Sports')",RC Plane 3 - Canyon Scenario,2017-12-22,2,775880,FrozenPepper
FrozenPepper,"('Racing', 'Simulation', 'Sports')",RC Plane 3 - F-53B,2017-12-23,2,775881,FrozenPepper
Casey Labrack,"('Action', 'Indie')",DinoBlaster,2018-01-03,4,653960,Casey Labrack
Stainless Games Ltd,"('Action', 'Indie', 'Racing')",Carmageddon Max Pack,1997-06-30,9,282010,Stainless Games Ltd
Valve,"('Action',)",Half-Life,1998-11-08,9,70,Valve
